Replicacao,Recurso,Percentual_Utilizacao,Tempo_Utilizacao,Tempo_Total
1,Auxiliar Administrativo,43.37862322728255,18739.565234186062,43200
1,Equipe de Enfermagem,100.0,45639.890969078406,43200
1,Médico,41.46243379455349,17911.771399247107,43200
Total,Auxiliar Administrativo,43.37862322728255,0.0,0
Total,Equipe de Enfermagem,100.0,0.0,0
Total,Médico,41.46243379455349,0.0,0
