Replicacao,Exame,Eh_Warmup,01 - Organizar pedidos - TempoEmFila,01 - Organizar pedidos - TempoEmProcessamento,02 - Avaliar prioridade - TempoEmFila,02 - Avaliar prioridade - TempoEmProcessamento,03 - Agendar exame - TempoEmFila,03 - Agendar exame - TempoEmProcessamento,04 - Informar pré-requisitos - TempoEmFila,04 - Informar pré-requisitos - TempoEmProcessamento,05 - Preparar paciente - TempoEmFila,05 - Preparar paciente - TempoEmProcessamento,06 - Transportar paciente - TempoEmFila,06 - Transportar paciente - TempoEmProcessamento,07 - Avaliação de realização de exame - TempoEmFila,07 - Avaliação de realização de exame - TempoEmProcessamento,10 - Realizar exame no hospital - TempoEmFila,10 - Realizar exame no hospital - TempoEmProcessamento,11 - Atualizar MV - TempoEmFila,11 - Atualizar MV - TempoEmProcessamento,12 - Retorno do paciente ao PS - TempoEmFila,12 - Retorno do paciente ao PS - TempoEmProcessamento,13 - Analisar exame urgente - TempoEmFila,13 - Analisar exame urgente - TempoEmProcessamento,14 - Analisar exame não urgente - TempoEmFila,14 - Analisar exame não urgente - TempoEmProcessamento,Tempo total em fila,Tempo total em processamento,TempoNoSistema
1,1,True,0.0,1.3147324503485134,0.0,1.1101326280912067,0.0,34.26033956336071,0.0,18.317987175024918,0.0,13.616135358071752,0.0,22.798881314811865,0.0,25.81343088482859,0.0549564986515918,0.8659288749612841,0.0,3.491071478199018,2.228741778448409,28.684741778529187,0.0,0.0,0.0,507.6133871340144,2.283698277100001,657.8867686402414,660.1704669173414
1,2,True,0.0,1.2066454776450009,0.0,1.4460070278149892,0.0,31.06349791046715,0.0,14.427689843795058,0.0,15.613970119295466,0.0,14.472375931511777,0.0,10.968217341787764,0.0,1.1322800812188092,0.0,2.407119241131241,0.0,20.241493349883726,0.0,0.0,0.0,377.84260122331517,0.0,490.8218975478662,490.8218975478662
1,3,True,0.0,1.161400269326741,0.0,1.0663996423445248,0.0,0.0,0.0,25.57943110420197,0.0,18.916095628775764,0.0,11.808070109315054,0.0,18.635347303110464,0.0,2.0132854556066064,0.0,4.8539361901107725,0.0,24.10295302075444,0.0,56.72948141442566,0.0,0.0,0.0,164.866400137972,164.866400137972
1,4,True,0.0,1.0364011950578487,0.0,1.161754221913057,0.0,0.0,0.0,21.495609598405917,0.0,13.615058514590729,0.0,7.663937211452101,0.0,16.254490332500843,0.0,4.80892085320221,0.0,4.0702606433880675,0.0,13.635563687640712,0.0,89.46906083511057,0.0,0.0,0.0,173.21105709326204,173.21105709326204
1,5,True,0.0,1.053658175151817,0.0,1.2451516147175141,0.0,0.0,0.0,10.644667783491549,0.0,16.576521635644134,0.0,9.723782837252408,0.0,28.87802326724828,0.0,3.485594614517609,0.0,3.9479398236302643,0.0,22.866410201970282,0.0,66.77339209780422,0.0,0.0,0.0,165.1951420514281,165.1951420514281
1,6,True,0.0,1.0117225969025938,0.0,1.1373150272211348,0.0,0.0,0.0,22.520295024627732,0.0,18.84378083320076,0.0,19.277586139153136,0.0,19.282144127248102,0.0,3.6869457829388494,0.0,2.3208344563903154,0.0,12.152359432223719,0.0,42.572211585399316,0.0,0.0,0.0,142.80519500530565,142.80519500530565
1,7,True,0.0,1.1794301179960343,0.0,1.269359087599856,0.0,0.0,0.0,19.914996607252874,0.0,16.759070223653254,0.0,16.47040192484036,0.0,20.281589951230544,0.0,2.379586017437319,0.0,2.004023395852869,0.0,26.637204921334927,0.0,57.85114118625373,0.0,0.0,0.0,164.74680343345176,164.74680343345176
1,8,True,0.0,1.0689926576000843,0.0,1.0990230473913591,0.0,0.0,0.0,12.615211638680531,0.0,14.079471694480915,0.0,21.276720963388357,0.0,22.122327373541793,0.0,1.5000344051757963,0.0,2.6399535615029066,0.0,13.264650707955582,0.0,57.067590956095,0.0,0.0,0.0,146.73397700581233,146.73397700581233
1,9,True,0.0,1.00502162211205,0.0,1.2789557450332367,0.0,0.0,0.0,12.550690715324478,0.0,21.39755621944734,0.0,7.311436201941021,0.0,15.208264701648233,0.0,0.18940670348401056,0.0,3.8872188065509476,0.0,7.141256774997302,0.0,55.44328824991538,0.0,0.0,0.0,125.413095740454,125.413095740454
1,10,True,0.0,1.224319145337489,0.0,1.2085821010219782,0.0,35.053568906243186,0.0,15.272538477064856,0.0,20.94537560719712,0.0,17.979201717653936,0.5596252879914516,28.499720266803678,0.2563149703973977,1.0824302325259225,0.0,4.095181336101746,0.46615387780855144,17.98165442886136,0.0,0.0,0.0,246.06183853491999,1.2820941361974008,389.40441075373127,390.68650488992864
1,11,True,0.0,1.0769475147382153,0.0,1.4352214963582597,0.0,38.98234498573947,0.0,23.264083424826694,0.0,14.290408244676868,3.6406825307828257,14.860323964272098,1.5224461549089767,18.840807830506606,0.06265788199459621,0.5356960212783122,0.0,3.8092757625407785,0.4134775667485826,27.80391701587442,0.0,0.0,0.0,453.2708999439643,5.639264134434981,598.1699262047761,603.809190339211
1,12,True,0.0,1.393369264787509,0.0,1.3701849778602053,0.0,0.0,0.0,18.180600733799622,0.0,23.40304927834434,0.0,23.62209168705033,1.7882669566736098,6.610346634200724,0.6385636634048524,0.917893727318102,0.0,3.8128654859061726,0.7681033768001271,21.886148430309532,0.0,66.2117201348236,0.0,0.0,3.1949339968785893,167.40827035440014,170.60320435127875
1,13,True,0.0,1.1362879978053897,0.0,1.3890305752836625,0.0,0.0,0.0,13.477576322637198,0.0,23.302396128732923,0.0,23.015490434438277,0.0,6.657731830916973,0.33708745905215665,0.5690553960043161,0.0,4.597842660221005,0.11289329240264578,17.79030319037247,0.0,63.9987444756982,0.0,0.0,0.44998075145480243,155.9344590121104,156.3844397635652
