Replicacao,tempo,num_em_fila,num_em_processamento,num_no_sistema
1,5.39942849731842,0,0,1
1,5.39942849731842,1,0,1
1,5.39942849731842,0,1,1
1,5.604225161996517,0,1,2
1,5.604225161996517,1,1,2
1,5.604225161996517,0,2,2
1,6.714160947666933,0,1,2
1,6.714160947666933,1,1,2
1,6.714160947666933,0,2,2
1,6.810870639641518,0,1,2
1,6.810870639641518,1,1,2
1,6.810870639641518,0,2,2
1,7.82429357575814,0,1,2
1,7.82429357575814,1,1,2
1,7.82429357575814,0,2,2
1,8.256877667456507,0,1,2
1,8.256877667456507,1,1,2
1,8.256877667456507,0,2,2
1,14.259343258697037,0,2,3
1,14.259343258697037,1,2,3
1,14.259343258697037,0,3,3
1,15.420743528023777,0,2,3
1,15.420743528023777,1,2,3
1,15.420743528023777,0,3,3
1,15.938864959494584,0,3,4
1,15.938864959494584,1,3,4
1,15.938864959494584,0,4,4
1,16.487143170368302,0,3,4
1,16.487143170368302,1,3,4
1,16.487143170368302,0,4,4
1,16.975266154552433,0,3,4
1,16.975266154552433,1,3,4
1,16.975266154552433,0,4,4
1,18.13702037646549,0,3,4
1,18.13702037646549,1,3,4
1,18.13702037646549,0,4,4
1,19.48123745374535,0,4,5
1,19.48123745374535,1,4,5
1,19.48123745374535,0,5,5
1,19.64810899249345,0,5,6
1,19.64810899249345,1,5,6
1,19.64810899249345,0,6,6
1,20.534895628897168,0,5,6
1,20.534895628897168,1,5,6
1,20.534895628897168,0,6,6
1,20.659831589396045,0,5,6
1,20.659831589396045,1,5,6
1,20.659831589396045,0,6,6
1,21.780047243614682,0,5,6
1,21.780047243614682,1,5,6
1,21.780047243614682,0,6,6
1,21.79714661661718,0,5,6
1,21.79714661661718,1,5,6
1,21.79714661661718,0,6,6
1,21.80586432709617,0,6,7
1,21.80586432709617,1,6,7
1,21.80586432709617,0,7,7
1,22.985294445092205,0,6,7
1,22.985294445092205,1,6,7
1,22.985294445092205,0,7,7
1,24.25465353269206,0,6,7
1,24.25465353269206,1,6,7
1,24.25465353269206,0,7,7
1,27.292331877025767,0,7,8
1,27.292331877025767,1,7,8
1,27.292331877025767,0,8,8
1,28.36132453462585,0,7,8
1,28.36132453462585,1,7,8
1,28.36132453462585,0,8,8
1,29.29722206864292,0,8,9
1,29.29722206864292,1,8,9
1,29.29722206864292,0,9,9
1,29.46034758201721,0,8,9
1,29.46034758201721,1,8,9
1,29.46034758201721,0,9,9
1,29.579146364222407,0,9,10
1,29.579146364222407,1,9,10
1,29.579146364222407,0,10,10
1,30.30224369075497,0,9,10
1,30.30224369075497,1,9,10
1,30.30224369075497,0,10,10
1,30.803465509559896,0,9,10
1,30.803465509559896,1,9,10
1,30.803465509559896,0,10,10
1,31.581199435788207,0,9,10
1,31.581199435788207,1,9,10
1,31.581199435788207,0,10,10
1,32.012047610581874,0,9,10
1,32.012047610581874,1,9,10
1,32.012047610581874,0,10,10
1,32.270321987773414,0,10,11
1,32.270321987773414,1,10,11
1,32.270321987773414,0,11,11
1,32.42471502710623,0,10,11
1,32.42471502710623,1,10,11
1,32.42471502710623,0,11,11
1,33.34726950251163,0,10,11
1,33.34726950251163,1,10,11
1,33.34726950251163,0,11,11
1,34.78249099886989,0,10,11
1,34.78249099886989,1,10,11
1,34.78249099886989,0,11,11
1,38.84985549189318,0,11,12
1,38.84985549189318,1,11,12
1,38.84985549189318,0,12,12
1,39.320375577923656,0,11,12
1,39.320375577923656,1,11,12
1,39.320375577923656,0,12,12
1,39.632629974871406,0,11,12
1,39.632629974871406,1,11,12
1,39.632629974871406,0,12,12
1,40.24322475668069,0,11,12
1,40.24322475668069,1,11,12
1,40.24322475668069,0,12,12
1,41.613409734540895,0,11,12
1,41.613409734540895,1,11,12
1,41.613409734540895,0,12,12
1,42.06657427457027,0,11,12
1,42.06657427457027,1,11,12
1,42.06657427457027,0,12,12
1,42.07555922069774,0,11,12
1,42.07555922069774,1,11,12
1,42.07555922069774,0,12,12
1,42.08463313911885,0,11,12
1,42.08463313911885,1,11,12
1,42.08463313911885,0,12,12
1,43.957498146465404,0,12,13
1,43.957498146465404,1,12,13
1,43.957498146465404,0,13,13
1,44.131890151112685,0,12,13
1,44.131890151112685,1,12,13
1,44.131890151112685,0,13,13
1,44.169650139944935,0,12,13
1,44.169650139944935,1,12,13
1,44.169650139944935,0,13,13
1,44.31744164124491,0,12,13
1,44.31744164124491,1,12,13
1,44.31744164124491,0,13,13
1,45.093786144270794,0,12,13
1,45.093786144270794,1,12,13
1,45.093786144270794,0,13,13
1,46.14966082774847,0,13,14
1,46.14966082774847,1,13,14
1,46.14966082774847,0,14,14
1,46.48281671955446,0,13,14
1,46.48281671955446,1,13,14
1,46.48281671955446,0,14,14
1,47.273588813114344,0,13,14
1,47.273588813114344,1,13,14
1,47.273588813114344,0,14,14
1,48.328436843626235,0,13,14
1,48.328436843626235,1,13,14
1,48.328436843626235,0,14,14
1,48.99868027369214,0,14,15
1,48.99868027369214,1,14,15
